Probe Name,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,Annotation,PBMC mock1,PBMC mock2,PBMC mock3,2330L 6h1,2330L 6h2,2330L 6h3,2330H 6h1,2330H 6h2,2330H 6h3,2383L 6h1,2383L 6h2,2383L 6h3,2383H 6h1,2383H 6h2,2383H 6h3,2330L 24h1,2330L 24h2,2330L 24h3,2330H 24h1,2330H 24h2,2330H 24h3,2383L 24h1,2383L 24h2,2383L 24h3,2383H 24h1,2383H 24h2,2383H 24h3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AANAT,NM_001088.2,AANAT,Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ABCA1,NM_005502.3,ABCA1,Endogenous,mRNA,90.38,,198.17,20,196.35,190.67,230.51,326.19,257.34,259.93,302.55,167.24,180.54,263.28,191.43,206.52,126.55,166.78,192.74,287.34,123.69,156.41,171.33,138.11,20,172.34,20,215.43,20
ABR,NM_001092.4,ABR,Endogenous,mRNA,100,,1690.31,2006.9,2453.34,1743.31,1977.31,1432.55,1877.78,2051.75,1710.45,1314.03,2015.86,1425.35,1559.16,1221.39,1293.16,1341.81,1874.66,1496.39,908.48,957.22,990.03,1161.94,847.87,1098.08,832.25,1186.8,825.96
ACC (ACACA),NM_198834.1,ACC (ACACA),Endogenous,mRNA,44.23,,20,20,20,20,73.48,20,20,20,20,20,72.36,20,20,20,20,20,56.95,20,20,20,20,36.42,20,20,20,20,20
AIFM1,NM_004208.2,AIFM1,Endogenous,mRNA,100,,169.03,179.52,167.9,195.21,194.88,182.34,231.41,182.5,252.48,253.76,168.88,210.45,183.51,211.95,174,280.49,166.15,202.41,200.46,187.54,187.74,155.06,135.45,193,239.72,177.06,196.71
APEX1,NM_001641.2,APEX1,Endogenous,mRNA,100,,501.27,384.44,462.01,481.22,435.76,682.61,596.24,447.96,569.83,669.53,510.19,755.23,470.83,747.12,779.06,572.35,403.13,634.02,558.74,605.9,679.11,507.92,581.16,613.34,619.66,514.58,702.74
AQP3,NM_004925.4,AQP3,Endogenous,mRNA,59.62,,390.52,313.5,404.58,399.51,310.55,289.47,345.76,326.29,324.63,349.23,378.32,284.25,269.95,176.17,308.46,341.14,303.14,290.12,375.34,330.23,314.48,266.43,328.96,327.06,348.28,422.55,325.09
AR,NM_000044.3,AR,Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ASMTL,NM_004192.2,ASMTL,Endogenous,mRNA,100,,355.55,247.34,369.64,249.69,252.89,201.57,184.22,210.15,251.89,223.52,261.91,195.72,197.31,165.1,189.82,227.42,257.68,221.98,187.67,186.61,235.69,230.61,166.36,294.31,239.72,337.23,196.09
Atg1,XM_011538798.2,Atg1,Endogenous,mRNA,98.08,,204,182.45,267.83,163.43,239.84,151.76,179.66,226.74,276.67,221.65,256.09,171.55,215.79,199.36,189.82,174.36,131.45,175.17,191.93,165.01,259.18,189.04,167.65,175.11,217.11,217.6,20
