,g+AF8-cat,g,g+AF8-sign,mock+AF8-nor,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,std,UVA1,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1,P+AC0-value,X2746.6h1,X2747.6h1,X2748.6h1,X2749.6h1,X2750.6h1,X2751.6h1,X2746.24h1,X2747.24h1,X2748.24h1,X2749.24h1,X2750.24h1,X2751.24h1
SOD1,Anti+AC0-oxidation,SOD1,up,1,1.0983739721,0.9651821051,0.8874841656,1.0153263149,1.0100159597,0.9357890744,0.9321283646,1.1506902746,1.0180852663,0.9890822819,0.9330229662,0.5695821137,1.0093790033,,0.0032539857,0.0052731775,0.0083348592,0.0066952148,0.0061790304,0.0110220542,0.0055616334,0.0239620876,0.0316188222,0.0264417967,0.0032135007,0.0431165757,0.0137294918,,0.0027773167,0.0073185677,0.0136333805,0.0096581013,0.0197684482,0.0024089343,0.1938888223,0.1696422333,0.1035870242,0.0003809904,0.0356831676,0.0570172874
SOD2,Anti+AC0-oxidation,SOD2,up,1,0.9129705048,0.9488337653,0.8414908059,0.8286066889,0.8964827842,1.1697396026,2.323485129,1.0246575342,0.8856226089,0.9838825126,0.6783660373,0.9446624707,0.9719856843,,0.0246784892,0.013543499,0.0070859028,0.0615391463,0.0573504352,0.0164057849,0.1061140128,0.0134038753,0.0378729289,0.044819208,0.0131944398,0.0493918843,0.0127755686,,0.2481513952,0.1306438665,0.2747862484,0.7587610819,0.0108332918,0.0260182826,0.0521835545,0.4947734557,0.2240589579,0.0173448326,0.5274114366,0.1333038056
GPX1,Anti+AC0-oxidation,GPX1,up,1,0.8269998587,0.7829128683,0.7942283231,0.9550473465,0.8060060538,0.8898841071,0.8667349775,0.8899812734,0.7904300049,0.8965679693,0.8039125621,0.6959991049,0.733646621,,0.0002873199,0.0020070753,0.0018946458,0.0107890707,0.0105225711,0.0235435761,0.0022569187,0.0155610796,0.0149281429,0.0198375657,0.0020986845,0.0053299925,0.0294148959,,0.0181111109,0.0226885202,0.0377259007,0.2164647041,0.1647561531,0.0233571607,0.1100556458,0.1786946833,0.126643124,0.0375044821,0.0179919053,0.1395635799
CAT,Anti+AC0-oxidation,CAT,up,1,0.9480992514,0.963172995,0.8010041691,0.6753149236,0.7759671852,0.6616084637,0.6882817053,1.1677500336,0.9799950688,1.0378468642,0.9568745237,0.5178307258,0.9391334559,,0.0126320013,0.0008875685,0.0216820298,0.0423021473,0.0090341791,0.0002218921,0.0066250647,0.0191778187,0.0261040227,0.0394809475,0.0242179397,0.0791996366,0.0060386355,,0.3392657461,0.0261150521,0.0516006709,0.0060557533,0.0197962054,0.0055822209,0.0093072979,0.3039806945,0.1661155209,0.7063461185,0.0760329418,0.4910462793
CCT2,Anti+AC0-aging,CCT2,up,1,1.2449204321,1.1144290858,1.1626019282,0.9927238936,1.1991636659,0.9503589267,1.1495272389,0.6746985713,1.1230154489,1.2112161691,1.0025090022,0.6351910791,1.4071553026,,0.0137462412,0.0250415513,0.0098891458,0.0420337979,0.03006826,0.0310210349,0.0102045472,0.0066102862,0.0443861662,0.0360083184,0.0081412968,0.0126489075,0.0084961233,,0.0418880015,0.0261944429,0.0532566942,0.2408597799,0.0224634368,0.0196940835,0.0024320177,0.1356975322,0.3958735424,0.0054923415,0.0004893579,0.0097944911
CCT5,Anti+AC0-aging,CCT5,up,1,1.0997986028,0.8712311789,0.9019129049,0.988203876,0.9861308861,1.0857671907,1.0482099253,0.6362898645,1.1607636865,1.2543654512,0.8393395941,0.7668956054,1.2567851689,,0.0204589555,0.0049660698,0.0273029508,0.0110171632,0.0380071264,0.001032859,0.0108711023,0.0532183233,0.000386018,0.0091914022,0.0061658555,0.0403649663,0.0191026759,,0.0308543311,0.0180828385,0.0398461,0.0961889576,0.5095863331,0.1228863867,0.0295190169,0.1482662686,0.0302419176,0.023090111,0.0230840584,0.0157418097
CCT6A,Anti+AC0-aging,CCT6A,up,1,0.9869534591,0.8757540654,0.8717746701,1.0064932247,0.9580627823,0.7259925954,0.9530184314,0.64933916,0.7413259532,0.7567761557,0.7605318769,0.5305548786,1.3737660369,,0.0228177395,0.0032104413,0.0345783414,0.002766645,0.0129314688,0.0075728645,0.0005004511,0.0040649853,0.0054719139,0.0111373986,0.0662578432,0.004976184,0.0335774392,,0.0864843255,0.0741705338,0.4372198204,0.2900847826,0.0241815147,0.2823423279,0.0258087562,0.0323208707,0.0181288969,0.101446295,0.0171413102,0.0087951122
CCT7,Anti+AC0-aging,CCT7,up,1,1.1531438888,1.03738912,0.9265719444,0.7227333386,0.7147107308,0.8791820394,0.7432608525,0.7327733731,0.8841274825,0.9028652171,0.7563309522,0.7838841353,1.1269251904,,0.0052509853,0.0031861158,0.0157196515,0.0075600866,0.0118896517,0.0182396804,4.44057951918517E+AC0-05,0.0373230709,0.0254556221,0.0134549559,0.0024756231,0.0493459399,0.0268988104,,0.0036571799,0.0180953908,0.0004973715,0.0034998943,0.0197381216,0.0057698417,0.0364310746,0.0351865178,0.0108633541,0.0010844743,0.0574393898,0.3934062764
CCT8,Anti+AC0-aging,CCT8,up,1,0.954221973,0.9264286159,1.0043123325,0.9183959619,1.0869196735,0.8558796037,1.1317255562,0.7807627594,1.0517853804,1.0940736586,1.0357013772,0.5424066804,1.3317629463,,0.0115625861,0.0125496361,0.0715787534,0.0336213918,0.0020093519,0.0029170854,0.0182780515,0.0166124046,8.81294673380166E+AC0-05,0.0174143827,0.0060721203,0.0373668942,0.0198643819,,0.1486157797,0.5008430185,0.355643258,0.0341263213,0.0410460975,0.0130525057,0.0101232827,0.0532472038,0.0169506473,0.0278793788,0.026812877,0.0050491408
Pink1,Anti+AC0-aging,Pink1,up,1,0.7663017532,0.7067742201,0.7328669026,1.0768293687,0.8441023953,0.9149559635,0.9406864763,1.191143304,0.9462013334,0.8059593382,0.7885751914,0.9410157215,0.8259774467,,0.0147835314,0.0226991229,0.0128046335,0.0209064743,6.98434552163228E+AC0-05,0.0016529618,0.0714265735,0.0276580083,0.011663857,0.0158777455,0.013503068,0.0452119967,0.0210927235,,0.1082320476,0.1392621427,0.0052782444,0.0849839206,0.0422566786,0.1672401464,0.008365455,0.0066439897,0.1232228021,0.2572677147,0.0897335748,0.0947187591
