,,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,STD,HEPG2 mock,H2O2 ,2605L 6h,2277L 6h,2277H 6h,p-value,H2O2 ,2605L 6h,2277L 6h,2277H 6h
DNA repair,APEX1,1.0,0.9880003922241561,0.939762949525654,0.8522479346946782,0.8239894099477852,,0.0,0.20919251196493555,0.0767687388256287,0.0014300962539313261,0.023644050724476357,,0.925637995628301,0.2457056668350794,5.849855892154477e-09,0.00020865229874913774
DNA repair,ERCC1,1.0,1.660236851631587,0.9486993845994726,1.1088069504059574,1.1836893003051145,,0.0,0.5089114415398557,0.0671444809335365,0.07093496513499398,0.11859972150452422,,0.08792932116333307,0.2562931065638006,0.05657955155950583,0.055077859260425376
DNA repair,ERCC6,1.0,1.2910112359550563,1.1856741573033707,0.8616573033707865,0.8426966292134831,,0.0,0.7765036766516652,0.3024247890988471,0.032840850986207704,0.0,,0.5516470448086611,0.34753877221960455,0.0018759539867111228,0.0
DNA repair,MLH1,1.0,0.9394817673466173,0.9613609514058439,0.8748523273214145,0.856422777033945,,0.0,0.20603454691032486,0.10960564283693368,0.0349536993201034,0.04326843526097439,,0.6377031447786257,0.5744576775503134,0.0034389001970024347,0.0045427504350789285
DNA repair,MPG,1.0,1.0693023628996672,1.0262566694748667,0.8994263248686165,1.2092510129578369,,0.0,0.2930384561791161,0.0995691565093603,0.02835830092934643,0.08803680773795093,,0.7030694923759442,0.6715561376662407,0.0035613068130424673,0.014650150036743179
DNA repair,MSH2,1.0,0.8239430457284295,0.8932732454934119,0.8449008675650672,0.7638072855464159,,0.0,0.030606122961881012,0.02313295372995227,0.015883260290697747,0.007259490989213657,,0.0005700483043783726,0.0013295567800216907,7.164334762063884e-05,5.936852856388113e-07
DNA repair,MSH6,1.0,0.8230842821743359,0.8498165051284466,0.8414886609579374,0.7042987986575078,,0.0,0.0496495339429767,0.03787349195052818,0.07872843025519713,0.02403512388386783,,0.0035000549398712215,0.002353688335674066,0.025184460421840103,2.8676916846270906e-05
DNA repair,OGG1,1.0,0.9438482655353133,0.9132259286988512,0.9731303552117131,1.0932165007533114,,0.0,0.09161607503971538,0.07455797797654276,0.035531246331438684,0.06828836647942982,,0.34827064992813117,0.11403681634161442,0.2604165078299519,0.07729770488794681
DNA repair,UNG,1.0,0.8198370558266516,0.9377673638728262,0.8638298329714741,1.0629850168748256,,0.0,0.08546952569838594,0.04644491350824613,0.022731556773883433,0.060156528816719554,,0.021751782442547128,0.081064114181748,0.00048715864896553947,0.14396206790247876
DNA repair,XPA,1.0,0.7993608367228354,0.8691458454386982,0.7122167344567112,0.6930708890180126,,0.0,0.00881922298517505,0.015528001355454112,0.0619125722406057,0.023681872486155255,,2.4780201561053566e-06,0.0001281596878465553,0.0012923008830161848,2.3318295961229468e-05
